"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1992/12/01","00:00","0.521","0.28","0.155","-0.11","-0.113","-0.381","-0.558","-0.808","0"
"1993/01/01","00:00","0.552","0.326","0.198","-0.095","-0.098","-0.393","-0.558","-0.854","0"
"1993/02/01","00:00","0.75","0.323","0.204","-0.095","-0.104","-0.409","-0.546","-0.814","0"
"1993/03/01","00:00","1.515","0.18","0.104","-0.131","-0.134","-0.372","-0.466","-0.86","0"
"1996/01/01","00:00","0.543","0.193","0.066","-0.201","-0.21","-0.486","-0.646","-1.009","0"
"1996/02/01","00:00","0.426","0.131","0.031","-0.245","-0.254","-0.539","-0.66","-1.203","0"
"1996/03/01","00:00","0.514","0.12","0.031","-0.24","-0.248","-0.527","-0.633","-1.1","0"
"1996/04/01","00:00","0.371","0.193","0.106","-0.176","-0.183","-0.473","-0.612","-0.819","0"
"1996/05/01","00:00","0.374","0.221","0.119","-0.158","-0.165","-0.45","-0.61","-0.829","0"
"1996/06/01","00:00","0.47","0.252","0.122","-0.155","-0.16","-0.443","-0.604","-0.831","0"
"1996/07/01","00:00","0.592","0.305","0.175","-0.101","-0.109","-0.393","-0.541","-0.869","0"
"1996/08/01","00:00","0.487","0.332","0.231","-0.05","-0.065","-0.36","-0.463","-0.695","0"
"1996/09/01","00:00","0.542","0.346","0.261","-0.012","-0.022","-0.305","-0.406","-0.501","0"
"1996/10/01","00:00","1.246","0.376","0.285","0.025","0.015","-0.255","-0.384","-0.665","0"
"1996/11/01","00:00","0.583","0.293","0.204","-0.058","-0.067","-0.338","-0.493","-0.918","0"
"1996/12/01","00:00","0.467","0.206","0.098","-0.161","-0.167","-0.432","-0.612","-0.909","0"
"1997/01/01","00:00","0.684","0.193","0.085","-0.193","-0.2","-0.484","-0.632","-1.041","0"
"1997/02/01","00:00","0.486","0.179","0.079","-0.207","-0.215","-0.509","-0.639","-0.871","0"
"1997/03/01","00:00","0.417","0.222","0.142","-0.138","-0.145","-0.432","-0.544","-1.02","0"
"1997/04/01","00:00","NaN","0.249","0.17","-0.114","-0.124","-0.418","-0.543","NaN","11"
